"Sum of Sales","Sum of Order Profit","Sum of Cost per item","Sum of Quantity ordered new","Order Date","profits_to_sales","PtoS_KPI"
32227.6239,16115.2062,2139.3474,263,2023-01-01,0.500043262575123,"No"
9916.4954,3842.4527,794.4719,158,2023-01-02,0.387480913872052,"No"
5320.9337,3173.6243,550.5363,40,2023-01-03,0.596441241130293,"No"
20060.4083,14199.0514,730.4702,156,2023-01-04,0.707814675935584,"No"
10926.8327,6297.7336,590.3715,140,2023-01-05,0.57635490291711,"No"
15997.3244,6305.2575,4705.3486,68,2023-01-06,0.394144504564776,"No"
5420.9452,1957.8821,581.0356,24,2023-01-07,0.361169874950959,"No"
14552.2432,6995.587,498.4254,147,2023-01-08,0.480722243564483,"No"
10929.186,5358.4258,490.9885,130,2023-01-09,0.490285900523607,"No"
3629.4982,1882.2301,331.4423,43,2023-01-10,0.51859237731541,"No"
15212.6442,8196.3098,779.0058,220,2023-01-11,0.538782718654525,"No"
2010.4986,993.1792,94.4417,48,2023-01-12,0.493996464359637,"No"
5226.2245,2544.5596,462.4056,76,2023-01-13,0.486882949632187,"No"
4626.6953,1684.0117,2302.4518,130,2023-01-14,0.363977221495438,"No"
4151.8438,2082.4271,249.6179,166,2023-01-15,0.501566821950286,"No"
6710.4175,2885.5892,504.6102,217,2023-01-16,0.430016343990519,"No"
2884.5852,1349.6607,209.6494,27,2023-01-17,0.467887271972414,"No"
1654.125,729.8424,179.7782,21,2023-01-18,0.44122566311494,"No"
6163.4718,2713.0386,1841.4348,64,2023-01-19,0.440180256848097,"No"
12432.9749,6406.1307,1669.2236,224,2023-01-20,0.515253248038006,"No"
13503.8279,8049.664,628.3018,104,2023-01-21,0.596102383680408,"No"
743.5964,376.4274,45.8742,21,2023-01-22,0.506225420133825,"No"
16273.2861,3131.697,898.0488,161,2023-01-23,0.192444044844759,"Yes"
504.4595,255.9742,59.4584,8,2023-01-24,0.507422696965762,"No"
7389.4925,3971.7575,462.9166,134,2023-01-25,0.53748718196818,"No"
4367.7068,2164.1986,233.4111,196,2023-01-26,0.495499972663,"No"
6570.648,3817.5976,1644.037,92,2023-01-27,0.581007778837034,"No"
11196.5734,6481.2406,493.326,98,2023-01-28,0.578859296362939,"No"
5491.654,1862.98,477.0544,50,2023-01-29,0.339238415238833,"No"
17725.4094,7635.52,853.1885,142,2023-01-30,0.430766919267884,"No"
7480.192,4203.2612,235.7128,97,2023-01-31,0.561918891921491,"No"
20021.4337,9719.3419,404.1428,309,2023-02-01,0.485446848893743,"No"
3577.908,2331.1207,111.8983,29,2023-02-02,0.651531761017891,"No"
8841.3793,4672.1273,1749.3247,192,2023-02-03,0.528438735797705,"No"
18508.1224,10168.2641,806.8778,304,2023-02-04,0.549394686302701,"No"
9940.5349,5440.3048,1019.1282,167,2023-02-05,0.547284915221212,"No"
4896.338,2172.4419,171.9088,226,2023-02-06,0.443687077975417,"No"
1367.8335,660.4245,224.2826,10,2023-02-07,0.482825212279126,"No"
556.2963,307.7001,26.3648,37,2023-02-08,0.55312267940664,"No"
13919.5918,8211.1687,249.2568,341,2023-02-09,0.589900107559188,"No"
23651.6296,14858.666,1421.1583,122,2023-02-10,0.628230115695707,"No"
3430.9615,1639.8064,363.8124,56,2023-02-11,0.477943690128846,"No"
13288.642,7608.1921,296.8559,101,2023-02-12,0.572533453756975,"No"
25063.1003,14261.1828,742.6304,353,2023-02-13,0.569011121102205,"No"
16134.51,10197.6664,584.2806,189,2023-02-14,0.632040663149981,"No"
16432.0417,8824.073,790.1957,199,2023-02-15,0.537004053488983,"No"
1052.7527,396.1125,52.985,25,2023-02-16,0.376263580231141,"No"
27503.5026,13961.5481,791.0231,131,2023-02-17,0.507628002987518,"No"
2782.0181,1384.6449,120.5887,100,2023-02-18,0.497712398060962,"No"
5854.8238,3784.7804,111.358,209,2023-02-19,0.646437967953877,"No"
62165.3702,32036.1456,2001.6172,101,2023-02-20,0.515337486078383,"No"
10887.4113,6508.448,380.6255,103,2023-02-21,0.597795731295648,"No"
6924.5541,3786.4808,218.576,93,2023-02-22,0.546819440691495,"No"
5831.9735,2823.8482,424.1521,54,2023-02-23,0.484201137059351,"No"
10314.414,4105.7552,169.1561,246,2023-02-24,0.398059957647618,"No"
5466.8045,2347.2524,775.6363,79,2023-02-25,0.429364613276366,"No"
3606.7503,1603.6808,161.6246,195,2023-02-26,0.444633164652402,"No"
3928.285,2025.5543,337.4301,152,2023-02-27,0.515633234350359,"No"
20639.7169,10952.2658,2902.5886,210,2023-02-28,0.530640311253494,"No"
256.8344,81.4356,8.2128,31,2023-03-01,0.317074348296022,"Yes"
15313.9704,7627.2713,575.978,93,2023-03-02,0.498059686728923,"No"
9205.7166,3655.9579,658.0067,139,2023-03-03,0.397139957578099,"No"
6085.6156,712.1912,543.0484,86,2023-03-04,0.117028620736413,"Yes"
2730.3676,1422.0232,229.102,46,2023-03-05,0.520817489923335,"No"
5593.3932,2832.3069,419.6036,70,2023-03-06,0.506366493240633,"No"
3310.158,1038.9284,272.2792,28,2023-03-07,0.313860667678099,"Yes"
7411.9632,2634.1412,4256.3603,41,2023-03-08,0.355390485478935,"No"
2661.0064,1614.7077,145.1753,160,2023-03-09,0.606803388372159,"No"
7130.7382,3829.7756,261.6183,99,2023-03-10,0.537079821553398,"No"
6583.5348,3566.2723,250.8072,93,2023-03-11,0.541695670842357,"No"
24942.3197,16784.554,617.1007,265,2023-03-12,0.672934763160782,"No"
2899.1916,1837.8886,185.1744,68,2023-03-13,0.633931403498824,"No"
16507.3468,7296.1961,577.3325,85,2023-03-14,0.441996899223078,"No"
5641.1885,2807.0517,190.9446,102,2023-03-15,0.497599344535287,"No"
15996.0316,9327.1444,418.86,121,2023-03-16,0.583091146181532,"No"
5394.9897,2942.2236,305.9315,168,2023-03-17,0.545362227475615,"No"
18133.1901,11163.2998,575.0932,334,2023-03-18,0.615628013517599,"No"
25334.2262,9800.9274,4443.2154,58,2023-03-19,0.38686507820002,"No"
9022.1396,5397.5753,970.9515,80,2023-03-20,0.598258898587648,"No"
3707.5362,1735.7674,108.9066,185,2023-03-21,0.468172745015949,"No"
8038.6927,5320.5938,257.6877,105,2023-03-22,0.661873018233425,"No"
9500.8958,5075.5974,507.889,168,2023-03-23,0.534223036105711,"No"
4986.3334,2795.9778,218.1728,80,2023-03-24,0.560728209629946,"No"
16713.2028,9008.8196,484.5331,297,2023-03-25,0.539024130072783,"No"
2910.1746,1611.4415,258.0728,76,2023-03-26,0.553726742031217,"No"
4619.3541,805.4708,201.1844,137,2023-03-27,0.174368706655331,"Yes"
16036.5272,5650.6784,732.79,251,2023-03-28,0.352362972950902,"No"
108.9785,65.5586,19.4261,8,2023-03-29,0.601573704905096,"No"
5164.602,2582.9282,213.2789,79,2023-03-30,0.500121442078209,"No"
25450.5909,15552.1387,1470.0482,140,2023-03-31,0.611071812089047,"No"
87509.5383,24258.0617,1940.0327,526,2023-04-02,0.277204773002442,"Yes"
15243.338,6186.8013,538.2501,181,2023-04-03,0.405869193479801,"No"
20455.6806,9173.4067,477.533,448,2023-04-04,0.448452773553768,"No"
19580.5898,7682.2085,525.111,415,2023-04-05,0.392337951944634,"No"
4577.9864,1636.9254,137.3483,245,2023-04-06,0.357564496041316,"No"
45090.6722,9279.4755,1307.8707,606,2023-04-07,0.20579590073177,"Yes"
12290.943,7133.2772,365.0682,170,2023-04-08,0.580368585225723,"No"
1236.8896,413.112,58.6131,93,2023-04-09,0.333992621491845,"No"
1877.3578,181.9694,103.4248,66,2023-04-10,0.0969284597746897,"Yes"
4398.2507,1981.0721,93.5674,176,2023-04-11,0.450422732837853,"No"
5033.1664,1429.9636,115.8576,64,2023-04-12,0.28410815108358,"Yes"
7736.8933,3164.1561,273.2076,272,2023-04-13,0.408969850986571,"No"
25452.2979,3273.4642,1155.0349,44,2023-04-14,0.128611735288545,"Yes"
325878.9552,6248.383,4471.4972,243,2023-04-15,0.0191739383605339,"Yes"
37273.4808,4697.4139,573.6881,354,2023-04-16,0.126025629996971,"Yes"
14382.1334,4025.6046,358.4667,167,2023-04-17,0.279903160959416,"Yes"
26434.7811,9563.2767,911.4641,250,2023-04-18,0.361768711600945,"No"
24164.7072,13218.4489,641.4559,283,2023-04-19,0.547014652012833,"No"
3270.1574,968.1746,146.3937,173,2023-04-20,0.296063608436707,"Yes"
17712.0396,5022.113,614.2445,190,2023-04-21,0.283542331285212,"Yes"
2528.8512,1099.6288,102.0595,137,2023-04-22,0.43483333459873,"No"
35379.2238,20986.9089,417.6407,150,2023-04-23,0.593198681198879,"No"
12329.8916,7137.29,451.8568,96,2023-04-24,0.578860725750419,"No"
5352.8606,2575.7944,272.5566,68,2023-04-25,0.481199603815575,"No"
30294.4112,14714.6001,631.7051,318,2023-04-26,0.485719956821607,"No"
3680.549,1976.8721,162.5281,105,2023-04-27,0.537113376292504,"No"
9919.1452,5544.9852,285.3089,191,2023-04-28,0.559018452517461,"No"
1676.4433,697.1725,220.0903,179,2023-04-29,0.415864049801147,"No"
13140.966,9335.4755,140.5484,226,2023-04-30,0.710410140319974,"No"
26363.6792,12006.4554,796.4142,391,2023-05-01,0.455416533819756,"No"
11142.3711,3614.8221,512.7695,206,2023-05-02,0.324421262544379,"Yes"
23891.397,10966.4677,421.0344,236,2023-05-03,0.459013246483661,"No"
975.4143,572.2444,102.8993,39,2023-05-04,0.586668044542714,"No"
3605.7352,1637.0267,375.7087,102,2023-05-05,0.454006356318123,"No"
8468.6002,3977.228,385.9525,126,2023-05-06,0.469644085925794,"No"
981.1277,435.0483,51.3353,77,2023-05-07,0.443416590928989,"No"
4697.2618,3105.3396,102.1266,121,2023-05-08,0.661095704735895,"No"
11689.4124,6490.599,393.7572,119,2023-05-09,0.55525451390525,"No"
6246.3114,2115.9266,324.3809,67,2023-05-10,0.338748177044135,"No"
2653.0303,1453.8336,169.9485,85,2023-05-11,0.547989821299817,"No"
8078.2519,5303.3865,138.1265,172,2023-05-12,0.656501748849897,"No"
6383.3771,3352.6009,143.1194,252,2023-05-13,0.525208028208141,"No"
11283.1186,6661.0245,220.2117,354,2023-05-14,0.590353140487241,"No"
7800.2959,3187.181,211.2913,188,2023-05-15,0.408597448207061,"No"
1908.3969,1172.8556,65.9971,76,2023-05-16,0.614576349395663,"No"
7135.2358,3805.8992,273.7566,64,2023-05-17,0.533395014079282,"No"
25332.1412,14294.5658,621.8871,442,2023-05-18,0.564285730414293,"No"
6395.0408,3311.664,180.5249,391,2023-05-19,0.517848768064154,"No"
13521.4224,6956.5867,274.1668,312,2023-05-20,0.514486308777692,"No"
19512.0323,8999.0459,315.399,295,2023-05-21,0.461204950957364,"No"
11287.9481,6346.5864,389.8219,166,2023-05-22,0.562244470277109,"No"
12902.7848,5479.0882,473.802,224,2023-05-23,0.42464384897747,"No"
8797.5077,1856.3151,448.3701,141,2023-05-24,0.211004657603198,"Yes"
1118.2691,487.9318,53.9091,55,2023-05-25,0.436327713964376,"No"
5525.0138,2979.6544,157.7972,166,2023-05-26,0.539302616764505,"No"
35004.7072,19723.2684,179.5371,403,2023-05-27,0.563446175604634,"No"
4752.9879,2493.0366,199.6245,138,2023-05-28,0.524519870963694,"No"
6646.62,4377.3172,180.3252,160,2023-05-30,0.658577923816917,"No"
4813.2985,2828.801,248.891,124,2023-05-31,0.587705291911565,"No"
10050.1839,5930.6955,276.7088,101,2023-06-01,0.590108157125364,"No"
4398.0661,2249.1333,887.5955,131,2023-06-02,0.511391427245716,"No"
29559.0726,14303.9545,1411.8049,170,2023-06-03,0.48391080104455,"No"
21795.1523,11353.0089,314.8919,378,2023-06-04,0.520896057239297,"No"
15640.3268,6495.5505,1507.7109,110,2023-06-05,0.415307850217043,"No"
4916.5527,1766.8269,315.0015,33,2023-06-06,0.359362953640261,"No"
1221.4573,472.7895,94.6113,74,2023-06-07,0.387070018739091,"No"
1745.873,933.882,114.6434,86,2023-06-08,0.53490832380133,"No"
19459.3336,12228.3267,322.1353,326,2023-06-09,0.628404186461966,"No"
26711.8674,14868.8473,987.6026,224,2023-06-10,0.556638256597515,"No"
9805.5802,5887.3616,346.7697,119,2023-06-11,0.600409305713496,"No"
25567.3249,13969.2133,511.6966,203,2023-06-12,0.54636976510593,"No"
3019.4946,1706.5988,187.6368,92,2023-06-13,0.565193526095394,"No"
